ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Book-Rating
034545104X,Flesh Tones: A Novel,M. J. Rose,2002,Ballantine Books,0
0155061224,Rites of Passage,Judith Rae,2001,Heinle,5
0446520802,The Notebook,Nicholas Sparks,1996,Warner Books,0
052165615X,Help!: Level 1,Philip Prowse,1999,Cambridge University Press,3
0521795028,The Amsterdam Connection : Level 4 (Cambridge English Readers),Sue Leather,2001,Cambridge University Press,6
2080674722,Les Particules Elementaires,Michel Houellebecq,1998,Flammarion,0
038550120X,A Painted House,JOHN GRISHAM,2001,Doubleday,7
0425115801,Lightning,Dean R. Koontz,1996,Berkley Publishing Group,0
0449006522,Manhattan Hunt Club,JOHN SAUL,2002,Ballantine Books,0
0553561618,Dark Paradise,TAMI HOAG,1994,Bantam,0
055356451X,Night Sins,TAMI HOAG,1995,Bantam,0
0786013990,At the Edge,David Dun,2002,Pinnacle Books,0
0786014512,Make Them Cry,Kevin O'Brien,2002,Pinnacle Books,0
0060517794,Little Altars Everywhere,Rebecca Wells,2003,HarperTorch,9
0451192001,How Stella Got Her Groove Back,Terry McMillan,1997,Signet Book,0
0609801279,The Law of Love,Laura Esquivel,1997,Three Rivers Press (CA),0
0671537458,Waiting to Exhale,Terry McMillan,1995,Pocket,9
0679776818,Birdsong: A Novel of Love and War,Sebastian Faulks,1997,Vintage Books USA,8
0943066433,How to Deal With Difficult People,Rick Brinkman,1995,Careertrack Inc.,7
1570231028,"Change Your Job, Change Your Life: High Impact Strategies for Finding Great Jobs in the Decade Ahead (Change Your Job Change Your Life, 7th ed)",Ronald L. Krannich,1999,Impact Publications,0
1885408226,The Golden Rule of Schmoozing,Aye Jaye,1998,Listen &amp; Live Audio,7
0747558167,Apricots on the Nile: A Memoir with Recipes,Colette Rossant,2002,Bloomsbury Publishing Plc,6
3596218098,Reise nach Ixtlan. Die Lehre des Don Juan.,Carlos Castaneda,1998,"Fischer (Tb.), Frankfurt",8
0684867621,The Girl Who Loved Tom Gordon : A Novel,Stephen King,1999,Scribner,8
0451166892,The Pillars of the Earth,Ken Follett,1996,Signet Book,5
034544003X,Southampton Row (Charlotte &amp; Thomas Pitt Novels (Hardcover)),Anne Perry,2002,Ballantine Books,0
0380000059,CLOUT,D. GIBBONS,2024,Avon,0
0380711524,See Jane Run,Joy Fielding,1992,Avon,5
0451167317,The Dark Half,Stephen King,1994,Signet Book,0
0451454952,House of the Sun (Shadowrun),Fanpro,2003,Fanpro,0
0843920262,God Game,Ralph Hayes,1983,Ingram Book Co,0
3404122879,"Vater Himmel, Mutter Erde.",Sue Harrison,1995,LÃ?Â¼bbe,0
3404182928,Besiegt vom Sturm der Leidenschaft.,Patricia Potter,2002,LÃ?Â¼bbe,0
